id,kind,order,file_it,file_en,status,cosa_scattare
circuit-watch-rest,single,,TODO_circuit_watch_rest.png,TODO_circuit_watch_rest.png,DA_PRODURRE,"Apple Watch: recupero in circuito con annuncio/voce del prossimo esercizio"
circuit-watch-advance,single,,TODO_circuit_watch_advance.png,TODO_circuit_watch_advance.png,DA_PRODURRE,"Apple Watch: momento auto-advance (fine lavoro → passaggio automatico al successivo)"
circuit-watch-flow,single,,TODO_circuit_watch_flow.png,TODO_circuit_watch_flow.png,DA_PRODURRE,"Apple Watch: overview circuito (giro X di Y / progressione blocco) — opzionale se coperto dai 3 shot sopra"
methods-advanced,single,,TODO_method_pyramid_drop.png,TODO_method_pyramid_drop.png,DA_PRODURRE,"iPhone: editor con Pyramid / Drop Set / Rest Pause / Superset evidenti sui tag"
watch-start,single,,watch_workout_start.png,watch_workout_start.png,OK,"Apple Watch: schermata Pronto/INIZIA prima dell'allenamento"
distance-run,single,,IMG_RUN001.png,IMG_RUN001.png,OK,"iPhone: runner con timer/distanza o esercizio outdoor (run) in corso"
distance-editor,single,,TODO_distance_editor.png,TODO_distance_editor.png,DA_PRODURRE,"iPhone: editor esercizio distanza — target metri/km e distanza+rest per serie"
distance-free,single,,TODO_distance_free.png,TODO_distance_free.png,DA_PRODURRE,"iPhone: runner free-distance (contatore senza target fisso)"
distance-watch-active,single,,TODO_distance_watch_active.png,TODO_distance_watch_active.png,DA_PRODURRE,"Apple Watch: distanza in corso (metri/km percorsi vs target)"
distance-watch-cue,single,,TODO_distance_watch_cue.png,TODO_distance_watch_cue.png,DA_PRODURRE,"Apple Watch: cue prossimità / voce vicino al target distanza"
distance-watch-done,single,,TODO_distance_watch_done.png,TODO_distance_watch_done.png,DA_PRODURRE,"Apple Watch: target distanza raggiunto / passaggio a recupero o esercizio successivo"
distance-watch-free,single,,TODO_distance_watch_free.png,TODO_distance_watch_free.png,DA_PRODURRE,"Apple Watch: modalità free-distance (contatore senza target fisso)"
calendar-phone,single,,TODO_calendar_schedule.png,TODO_calendar_schedule.png,DA_PRODURRE,"iPhone: calendario o pianificazione sessione con data/orario impostati"
calendar-alert,single,,TODO_calendar_alert.png,TODO_calendar_alert.png,DA_PRODURRE,"iPhone o Watch: notifica/alert allenamento programmato (banner o schermata alert)"
runner-phone,single,,TODO_runner_iphone.png,TODO_runner_iphone.png,DA_PRODURRE,"iPhone: runner in corso — serie attiva, timer, skip, lista esercizi"
runner-summary,single,,TODO_runner_summary.png,TODO_runner_summary.png,DA_PRODURRE,"iPhone: riepilogo fine sessione (volume, serie, kcal)"
safety-areas,single,,TODO_safety_attention.png,TODO_safety_attention.png,DA_PRODURRE,"iPhone: profilo Aree di attenzione + esercizio segnalato come poco adatto"
mobility-protocol,single,,TODO_mobility_protocol.png,TODO_mobility_protocol.png,DA_PRODURRE,"iPhone: protocollo mobilità/rehab in elenco o dettaglio scheda"
smart-swap,single,,TODO_smart_swap.png,TODO_smart_swap.png,DA_PRODURRE,"iPhone: Smart Swap / affinità — impostazioni o suggerimento sostituzione esercizio"
groups-home,single,,TODO_groups_home.png,TODO_groups_home.png,DA_PRODURRE,"iPhone: Home con Gruppi di schede espansi (più schede sotto un gruppo)"
free-workout,single,,TODO_free_workout.png,TODO_free_workout.png,DA_PRODURRE,"iPhone: avvio Allenamento libero (entry point Nuova scheda / libero)"
backup-export,single,,TODO_backup_export.png,TODO_backup_export.png,DA_PRODURRE,"iPhone: Backup/export binario o export massivo (Trainer/Studio)"
lang-iphone,single,,IMG_3968.png,IMG_3968.png,OK,"iPhone: Impostazioni (audio guida/voce) — TEMP finché non c'è lang-picker"
lang-picker,single,,TODO_lang_picker.png,TODO_lang_picker.png,DA_PRODURRE,"iPhone: schermata selezione lingua nativa (IT EN ES FR DE)"
lang-bg,single,,IMG_4000.png,IMG_4000.png,OK,"iPhone: Trainer Tools / impostazioni branding-database (sfondo sezione lingue)"
analytics,single,,IMG_3696.png,IMG_3696.png,OK,"iPhone: Analizza dati — metriche volume/kcal/distanza + grafico"
history,single,,IMG_3693.png,IMG_3693.png,OK,"iPhone: Cronologia allenamenti con card sessione espansa"
price-ath-a,single,,IMG_900a.png,IMG_900a.png,OK,"Card prezzo Athlete Pro — stato default (prima dell'hover)"
price-ath-b,single,,IMG_900b.png,IMG_900b.png,OK,"Card prezzo Athlete Pro — stato hover/dettaglio"
price-pro-a,single,,IMG_901a.png,IMG_901a.png,OK,"Card prezzo Trainer Pro — stato default"
price-pro-b,single,,IMG_901b.png,IMG_901b.png,OK,"Card prezzo Trainer Pro — stato hover/dettaglio"
price-gym-a,single,,IMG_902a.png,IMG_902a.png,OK,"Card prezzo Studio & Gym — stato default"
price-gym-b,single,,IMG_902b.png,IMG_902b.png,OK,"Card prezzo Studio & Gym — stato hover/dettaglio"
carousel-editor,carousel,1,iphone_exercise_detail.png,iphone_exercise_detail.png,OK,"iPhone: dettaglio esercizio da database (scheda esercizio con media)"
carousel-editor,carousel,2,IMG_3685.png,IMG_4026.PNG,OK,"iPhone: editor scheda (IT) / equivalente EN IMG_4026 — lista esercizi in editing"
carousel-editor,carousel,3,IMG_3686.png,IMG_4027.PNG,OK,"iPhone: seconda schermata editor scheda (IT) / EN IMG_4027"
carousel-editor,carousel,4,IMG_3687.png,IMG_4028.PNG,OK,"iPhone: setup esercizio 1 (serie/reps/carico) IT / EN IMG_4028"
carousel-editor,carousel,5,IMG_3688.png,IMG_4030.PNG,OK,"iPhone: setup esercizio 2 (note/metodi) IT / EN IMG_4030"
carousel-watch,carousel,1,watch_pre_start.png,watch_pre_start.PNG,OK,"Apple Watch: pre-start / lista o anteprima prima di INIZIA (EN: .PNG)"
carousel-watch,carousel,2,watch_routine_intro.png,watch_routine_intro.png,OK,"Apple Watch: intro routine / anteprima esercizi della scheda"
carousel-watch,carousel,3,watch_workout_player.png,watch_workout_player.PNG,OK,"Apple Watch: player workout attivo (reps/peso/timer) — EN: .PNG"
carousel-watch,carousel,4,watch_workout_options.png,watch_workout_options.PNG,OK,"Apple Watch: menu opzioni durante workout — EN: .PNG"
carousel-watch,carousel,5,watch_rest_timer.png,watch_rest_timer.PNG,OK,"Apple Watch: timer recupero — EN: .PNG"
carousel-circuit,carousel,1,IMG_4001.PNG,IMG_4001.PNG,OK,"iPhone: stesso shot circuit-iphone — circuito in carosello"
carousel-circuit,carousel,2,TODO_circuit_macroblock.png,TODO_circuit_macroblock.png,DA_PRODURRE,"iPhone: stesso contenuto di circuit-editor (macro-blocco) — riusa lo stesso file"
carousel-circuit,carousel,3,TODO_circuit_autoadvance.png,TODO_circuit_autoadvance.png,DA_PRODURRE,"iPhone: stesso contenuto di circuit-autoadvance — riusa lo stesso file"
carousel-circuit,carousel,4,TODO_method_pyramid_drop.png,TODO_method_pyramid_drop.png,DA_PRODURRE,"iPhone: stesso contenuto di methods-advanced — riusa lo stesso file"
carousel-circuit-watch,carousel,1,TODO_circuit_watch_active.png,TODO_circuit_watch_active.png,DA_PRODURRE,"Apple Watch: stesso di circuit-watch-active — riusa lo stesso file"
carousel-circuit-watch,carousel,2,TODO_circuit_watch_rest.png,TODO_circuit_watch_rest.png,DA_PRODURRE,"Apple Watch: stesso di circuit-watch-rest — riusa lo stesso file"
carousel-circuit-watch,carousel,3,TODO_circuit_watch_advance.png,TODO_circuit_watch_advance.png,DA_PRODURRE,"Apple Watch: stesso di circuit-watch-advance — riusa lo stesso file"
carousel-circuit-watch,carousel,4,TODO_circuit_watch_flow.png,TODO_circuit_watch_flow.png,DA_PRODURRE,"Apple Watch: stesso di circuit-watch-flow — riusa lo stesso file"
carousel-circuit-watch,carousel,5,watch_workout_superset_dropset.png,watch_workout_superset_dropset.png,OK,"Apple Watch: superset/dropset esistente — placeholder carosello fino ai nuovi shot"
carousel-distance,carousel,1,IMG_RUN001.png,IMG_RUN001.png,OK,"iPhone: stesso di distance-run — runner distanza in carosello"
carousel-distance,carousel,2,TODO_distance_editor.png,TODO_distance_editor.png,DA_PRODURRE,"iPhone: stesso di distance-editor — riusa lo stesso file"
carousel-distance,carousel,3,TODO_distance_free.png,TODO_distance_free.png,DA_PRODURRE,"iPhone: stesso di distance-free — riusa lo stesso file"
carousel-distance-watch,carousel,1,TODO_distance_watch_active.png,TODO_distance_watch_active.png,DA_PRODURRE,"Apple Watch: stesso di distance-watch-active — riusa lo stesso file"
carousel-distance-watch,carousel,2,TODO_distance_watch_cue.png,TODO_distance_watch_cue.png,DA_PRODURRE,"Apple Watch: stesso di distance-watch-cue — riusa lo stesso file"
carousel-distance-watch,carousel,3,TODO_distance_watch_done.png,TODO_distance_watch_done.png,DA_PRODURRE,"Apple Watch: stesso di distance-watch-done — riusa lo stesso file"
carousel-distance-watch,carousel,4,TODO_distance_watch_free.png,TODO_distance_watch_free.png,DA_PRODURRE,"Apple Watch: stesso di distance-watch-free — riusa lo stesso file"
